Emmanuelle Hoarau-Colas;What Remains of Edith Finch;LEGO City Undercover;Prey;NieR:Automata™;PLAYERUNKNOWN'S BATTLEGROUNDS
Denise Baudry;AER Memories of Old;The Sexy Brutale;SteamWorld Dig 2;NieR:Automata™;PLAYERUNKNOWN'S BATTLEGROUNDS
Joseph Lecomte;Hidden Folks;Battle Brothers;PLAYERUNKNOWN'S BATTLEGROUNDS;Prey;Divinity: Original Sin 2
Sabine Adam;Bayonetta;Torment: Tides of Numenera;Cuphead;Everspace;PUBG
Victoire Bertrand de Fontaine;Hollow Knight;Night in the Woods;Nier: Automata;Fidel Dungeon Rescue;Pyre
Michèle Marchand-Leclerc;Hellblade: Senua's Sacrifice;Assassins Creed Origins;NieR Automata;Resident Evil 7;What Remains Of Edith Finch
Caroline Pereira-Thibault;Gorogoa;Prey;PUBG;Slime Rancher;Death of the Outsider
Charles Tessier;Tales of Berseria;Dishonored: Death of the Outsider;NieR: Automata;Divinity: Original Sin II;Prey
Timothée Riou;Bayonetta;NieR:Automata™;Divinity: Original Sin 2;Superdimension Neptune VS Sega Hard Girls | ???????????VS?????????????????? | ?????????VS SEGA??????????;Tales of Berseria™
Alex Hebert;Fire Pro Wrestling World;Assassin's Creed® Origins;The Evil Within 2;RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil;Cuphead
Andrée Bonneau du Guillon;Player Unknown's Battlegrounds;Assassin's Creed: Origins;What Remains of Edith Finch;Life is Strange: Before the Storm;The Evil Within 2
Corinne Blin;Wolfenstein II: The New Colossus;Cosmic Star Heroine;Dishonored®: Death of the Outsider™;Hollow Knight;Nioh: Complete Edition / ?? Complete Edition
Laure-Anne Charles;Opus Magnum;Hellblade: Senua's Sacrifice;Umineko When They Cry - Answer Arcs;NieR:Automata™;Danganronpa V3: Killing Harmony
Nathalie Torres Le Vallee;What Remains of Edith Finch;Night in the Woods;Wolfenstein II: The New Colossus;Life is Strange: Before the Storm;NieR:Automata™
Aimé Poulain;NieR:Automata;RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil;Total War: WARHAMMER II;Divinity: Original Sin 2;PLAYERUNKNOWN'S BATTLEGROUNDS
Pauline Colin Le Bousquet;Rez Infinite;Bayonetta;Okami HD;Torment: Tides of Numenera;Hollow Knight
Denis Charpentier Le Blanchet;The Evil Within 2;Everything;Hollow Knight;Divinity: Original Sin 2;What Remains of Edith Finch
Zacharie Moulin;Tales of Berseria;The Legend of Heroes: Trails in the Sky the 3rd;Life is Strange: Before the Storm;Night in the Woods;NieR: Automata
Inès Briand;The Sexy Brutale;Hollow Knight;Night in the Woods;Prey;What Remains of Edith Finch
Luc Camus;Detention;What Remains of Edith Finch;Life is Strange: Before the Storm;Heat Signature;TEKKEN 7
Étienne Brun;Slime Rancher;ARK: Survival Evolved;Umineko When They Cry - Answer Arcs;Doki Doki Literature Club!;Hollow Knight
Augustin-Benoît Paris;Detention;The Legend of Heroes: Trails of Cold Steel;Nioh: Complete Edition / ?? Complete Edition;The Legend of Heroes: Trails in the Sky the 3rd;Tales of Berseria
Jeanne de la Letellier;Spellforce 3;Torment:tides of nemunera;Total war:warhammer 2;Elex;Divinity: original sin 2
Philippe Pires;Cuphead;Resident Evil 7;Prey;What Remains of Eith Finch;Nex Machina
Benoît Lemaitre;Sniper Elite 4;Cosmic Star Heroine;Ys SEVEN;Meltys Quest;Hollow Knight
François-Franck Rey;;;;;NieR:Automata™
Capucine Gillet;Wolfenstein II: The New Colossus;NieR:Automata™;Raw Data;Yooka-Laylee;Prey
Martine du Masson;NieR:Automata™;Steamworld Dig 2;PLAYERUNKNOWN'S BATTLEGROUNDS;Cuphead;Hollow Knight
Camille Legros;Pro Evolution Soccer 2018;Nex Machina;Full Throttle: Remastered;Thimbleweed Park;Divinity: Original Sin 2
Anouk Barthelemy;;;;Superflight;PLAYERUNKNOWN'S BATTLEGROUNDS
Martine Meyer;Battle Brothers;NieR:Automata™;Gorogoa;Divinity: Original Sin 2;Hollow Knight
Raymond Le Berthelot;Tokyo Xanadu eX+;Atelier Sophie: The Alchemist of the Mysterious Book;NieR:Automata™;PLAYERUNKNOWN'S BATTLEGROUNDS;The Legend of Heroes: Trails in the Sky the 3rd
Roland de la Charpentier;Ys Seven;The Legend of Heroes: Trails of Cold Steel;Zwei: The Ilvard Insurrection;Nier: Automata;The Legend of Heroes: Trails in the Sky the 3rd
Étienne Legros-Parent;Divinity: Original Sin 2;Wolfenstein II: The New Colossus;Prey;NieR:Automata™;PLAYERUNKNOWN'S BATTLEGROUNDS
Élisabeth Ferrand;Hollow Knight;Cuphead;RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil;Bayonetta;NieR:Automata™
Margaud Guilbert;The Sexy Brutale;Slime Rancher;Hollow Knight;Torment: Tides of Numenera;Divinity: Original Sin 2
Jacqueline Colas;Cuphead;RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil;Divinity: Original Sin 2;The Evil Within 2;PLAYERUNKNOWN’S BATTLEGROUNDS
Isaac Boyer;Hellblade;Cuphead;Player Unknown's Battlegrounds;A Hat in Time;Rain World
Christelle de Nguyen;;;;Hollow Knight;Prey
Célina Michel;;;;;What Remains of Edith Finch
Antoine Coste;Push;Telltale's Guardians of the Galaxy;Black: The Fall;Figment;Divinity: Original Sin 2
Yves Pruvost;Tokyo Xanadu eX+;The Legend of Heroes: Trails of Cold Steel;Sonic Mania;NieR:Automata™;The Legend of Heroes: Trails in the Sky the 3rd
Victoire de Chauvin;;;;What Remains of Edith Finch;PLAYERUNKNOWN'S BATTLEGROUNDS
Antoine Marin;Nex Machina;Hollow Knight;Nioh: Complete Edition / ?? Complete Edition;NieR:Automata;Muv-Luv Alternative
Nathalie Blanc-Paul;Nier: Automata;Wolfenstein 2: The New Colossus;Divinity: Original Sin 2;Hollow Knight;Opus Magnum
Xavier Monnier de Dupont;Total War: WARHAMMER II;Pyre;Doki Doki Literature Club!;Life is Strange: Before the Storm;NieR:Automata™
Agathe Gauthier;SPACEPLAN;The Sexy Brutale;Yooka Laylee;Cosmic Star Heroine;Faeria
Catherine Bodin;;;Thimbleweed Park;Full Throttle Remastered;Hollow Knight
Guy Valentin;RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil;Cuphead;Hellblade: Senua's Sacrifice;Danganronpa V3: Killing Harmony;NieR:Automata™
Marcel Regnier;;;Nex Machina;PLAYERUNKNOWN'S BATTLEGROUNDS;RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil
